sigma,CHSH,error
0.0,2.828,0.001
0.01,2.827,0.001
0.02,2.826,0.001
0.03,2.823,0.001
0.04,2.82,0.001
0.05,2.816,0.002
0.06,2.81,0.002
0.07,2.804,0.002
0.08,2.797,0.002
0.09,2.789,0.003
0.1,2.78,0.003
0.11,2.77,0.004
0.12,2.76,0.004
0.13,2.748,0.005
0.14,2.736,0.006
0.15,2.723,0.008
0.16,2.709,0.009
0.17,2.694,0.011
0.18,2.678,0.013
0.19,2.662,0.015
0.2,2.646,0.018
0.21,2.627,0.02
0.22,2.61,0.022
0.23,2.591,0.026
0.24,2.57,0.029
0.25,2.552,0.031
0.26,2.529,0.036
0.27,2.51,0.039
0.28,2.487,0.043
0.29,2.466,0.048
0.3,2.445,0.052
0.31,2.422,0.055
0.32,2.398,0.059
0.33,2.374,0.065
0.34,2.35,0.07
0.35,2.327,0.078
0.36,2.305,0.079
0.37,2.279,0.088
0.38,2.255,0.091
0.39,2.227,0.097
0.4,2.202,0.106
0.41,2.177,0.109
0.42,2.153,0.113
0.43,2.129,0.121
0.44,2.099,0.131
0.45,2.074,0.133
0.46,2.051,0.137
0.47,2.019,0.148
0.48,1.999,0.151
0.49,1.967,0.16
0.5,1.942,0.172
0.51,1.914,0.178
0.52,1.898,0.178
0.53,1.87,0.189
0.54,1.835,0.197
0.55,1.823,0.204
0.56,1.791,0.21
0.57,1.761,0.209
0.58,1.753,0.224
0.59,1.716,0.235
0.6,1.7,0.226
0.61,1.664,0.243
0.62,1.647,0.247
0.63,1.616,0.251
0.64,1.602,0.264
0.65,1.589,0.246
0.66,1.562,0.272
0.67,1.541,0.276
0.68,1.512,0.281
0.69,1.497,0.276
0.7,1.477,0.28
