step,node,omega_dimless,phi,spin,omega_obs_Hz,phi_obs_rad
0,0,-0.15000000,0.000000000000,1,0.000000e+00,0.000000000000
0,1,0.00000000,2.094395102393,1,2.175000e+22,2.094395102393
0,2,0.15000000,4.188790204786,1,4.350000e+22,-2.094395102393
500,0,-0.00410498,6.282906579630,1,0.000000e+00,0.000000000000
500,1,-0.00000000,2.094395102393,1,5.952223e+20,2.094673829943
500,2,0.00410498,4.189068932336,1,1.190445e+21,-2.093837647293
1000,0,-0.00597290,6.283075694226,1,0.000000e+00,0.000000000000
1000,1,-0.00000000,2.094395102393,1,8.660698e+20,2.094504715347
1000,2,0.00597290,4.188899817740,1,1.732140e+21,-2.094175876486
1500,0,-0.00597312,6.283128812213,1,0.000000e+00,0.000000000000
1500,1,-0.00000000,2.094395102393,1,8.661026e+20,2.094451597360
1500,2,0.00597312,4.188846699753,1,1.732205e+21,-2.094282112460
2000,0,-0.00597288,6.283146038374,1,0.000000e+00,0.000000000000
2000,1,-0.00000000,2.094395102393,1,8.660675e+20,2.094434371198
2000,2,0.00597288,4.188829473592,1,1.732135e+21,-2.094316564783
2500,0,-0.00597313,6.283180479176,1,0.000000e+00,0.000000000000
2500,1,0.00597313,2.094380675683,1,1.732207e+21,2.094385503687
2500,2,-0.00000000,4.188809459500,1,8.661033e+20,-2.094371019676
3000,0,0.00597289,6.283184779738,1,0.000000e+00,0.000000000000
3000,1,-0.00597289,2.094379431500,1,-1.732137e+21,2.094379958941
3000,2,0.00000000,4.188806403121,1,-8.660682e+20,-2.094378376617
3500,0,0.00000000,0.000002889139,1,0.000000e+00,0.000000000000
3500,1,0.00597312,2.094404849101,1,8.661028e+20,2.094401959962
3500,2,-0.00597312,4.188777568939,1,-8.661029e+20,-2.094410627380
4000,0,-0.00000000,6.283178368058,1,0.000000e+00,0.000000000000
4000,1,0.00597288,2.094411335050,1,8.660678e+20,2.094418274172
4000,2,-0.00597288,4.188780911250,1,-8.660677e+20,-2.094397456808
4500,0,0.00000000,0.000005841699,1,0.000000e+00,0.000000000000
4500,1,0.00597313,2.094405130638,1,8.661034e+20,2.094399288939
4500,2,-0.00597313,4.188774334843,1,-8.661036e+20,-2.094416814035
5000,0,0.00597289,0.000010858754,1,0.000000e+00,0.000000000000
5000,1,0.00000000,2.094384306573,1,-8.660684e+20,2.094373447818
5000,2,-0.00597289,4.188790141852,1,-1.732137e+21,-2.094406024081
