spin_mode,rho_scale,a2,beta,spectral_dim,mds_stress
same,1.16,0.55,1.65,-0.05823238545945206,0.9520742591540146
same,1.16,0.55,1.6,-0.05823621423901456,0.9498178628914892
same,1.16,0.55,1.55,-0.058273677080123674,0.9468964178316792
same,1.16,0.55,1.5,-0.05835247992622727,0.9433317132219565
same,1.16,0.55,1.45,-0.0584834318826587,0.9400818076690773
same,1.16,0.55,1.4,-0.05868014045233101,0.9370526580061734
same,1.16,0.5,1.6,-0.05885580722373148,0.9496363956336663
same,1.16,0.5,1.65,-0.058857372933880596,0.951885495559676
same,1.16,0.5,1.55,-0.05888827292837056,0.9467457812727605
same,1.16,0.55,1.35,-0.05896083738629188,0.933842578834558
same,1.16,0.5,1.5,-0.05896303489405567,0.9431724791130442
same,1.16,0.5,1.45,-0.059090699082352094,0.9398467840361594
same,1.16,0.5,1.4,-0.05928588072575353,0.9367712910309305
same,1.16,0.45,1.6,-0.059541115671098155,0.9494427198263835
same,1.16,0.45,1.65,-0.05954829877506682,0.9516855679371271
same,1.16,0.5,1.35,-0.05956782811975255,0.9335301214490511
same,1.16,0.45,1.55,-0.05956872877084453,0.9465814575897867
same,1.16,0.45,1.5,-0.05963956287219831,0.943004053543684
same,1.16,0.45,1.45,-0.05976466224487579,0.9395996027047
same,1.18,0.55,1.6,-0.05979876780290933,0.9479770856635266
